sale_id,sale_date,customer_id,store_id,product_id,quantity
108,2024-06-14,267,1,40,3
109,2023-12-29,2,2,3,4
110,2023-05-28,58,3,63,2
111,2023-09-12,7,2,98,2
112,2024-05-05,21,3,66,1
113,2024-07-24,220,4,9,3
114,2024-03-07,127,3,78,2
115,2023-12-25,46,4,63,5
116,2023-04-09,106,3,46,4
117,2023-12-13,175,2,90,3
118,2023-02-20,94,5,45,4
119,2024-04-04,210,4,17,4
120,2023-04-23,20,1,5,2
121,2023-08-28,280,1,96,3
122,2023-08-18,28,3,46,1
123,2024-02-10,255,5,52,2
124,2023-06-01,208,3,2,1
125,2023-11-04,35,5,65,2
126,2024-05-01,81,5,95,5
127,2023-10-05,246,4,66,5
128,2023-08-16,21,1,32,2
129,2024-04-25,84,1,7,3
130,2024-07-30,212,3,83,5
131,2023-08-14,59,4,69,1
132,2023-05-01,203,1,15,5
133,2023-01-31,212,4,72,5
134,2023-06-15,214,2,15,3
135,2023-08-16,11,3,76,1
136,2023-02-24,136,5,46,2
137,2024-05-03,291,4,90,2
138,2024-02-29,153,2,67,4
139,2023-04-27,97,3,17,4
140,2023-09-11,249,1,56,2
141,2024-02-03,268,1,25,2
142,2024-07-23,37,4,29,1
143,2023-11-15,261,2,56,5
144,2023-01-03,200,5,99,4
145,2024-07-29,77,4,48,3
146,2024-04-21,223,2,10,2
147,2024-04-07,167,5,57,1
148,2023-07-10,6,4,71,3
149,2023-07-08,211,3,68,2
150,2024-06-05,263,4,96,4
151,2024-02-08,42,3,6,3
152,2024-03-13,223,3,65,1
153,2023-12-31,24,3,13,2
154,2023-11-25,167,4,41,4
155,2023-12-04,209,2,68,2
156,2023-04-12,166,4,97,4
157,2024-04-06,219,3,97,2
158,2024-01-08,61,3,91,1
159,2024-06-30,228,4,56,3
160,2023-01-11,122,1,85,2
161,2023-05-25,263,2,73,1
162,2024-01-01,142,5,88,3
163,2023-03-15,149,1,54,3
164,2024-07-24,81,1,68,1
165,2024-05-27,289,5,20,1
166,2023-08-04,146,3,17,2
167,2023-03-09,217,4,39,5
168,2023-08-22,16,1,19,3
169,2023-01-24,9,4,88,2
170,2024-01-28,261,1,20,4
171,2024-02-10,181,5,50,4
172,2023-02-24,257,4,5,4
173,2024-03-10,210,5,4,5
174,2023-02-19,107,5,83,5
175,2023-11-02,193,3,13,1
176,2023-12-29,33,1,90,2
177,2023-12-02,235,2,89,2
178,2024-02-22,269,1,34,5
179,2023-08-31,88,3,92,3
180,2024-03-24,131,4,53,4
181,2023-12-15,106,1,28,3
182,2024-07-01,199,3,47,5
183,2024-02-17,206,5,44,4
184,2023-01-08,299,5,100,4
185,2024-04-09,152,1,23,3
186,2023-04-02,251,2,29,1
187,2023-09-25,40,3,24,4
188,2024-03-12,13,2,9,3
189,2024-08-09,155,2,84,4
190,2023-02-11,101,2,86,2
191,2023-08-26,291,1,13,1
192,2024-05-25,223,3,97,2
193,2024-01-06,219,2,61,3
194,2023-12-31,219,2,69,5
195,2024-01-21,296,1,18,5
196,2023-02-08,155,5,43,1
197,2023-12-24,119,1,68,2
198,2024-03-21,160,1,18,1
199,2023-03-10,70,3,23,1
200,2023-08-04,217,2,35,3
201,2023-06-05,81,2,12,5
202,2023-10-28,104,1,66,4
203,2023-12-17,104,5,61,4
204,2023-02-22,188,4,28,5
205,2023-02-17,21,3,95,3
206,2023-05-15,190,1,91,3
207,2023-07-20,252,5,39,4
208,2024-02-02,196,5,97,3
209,2023-08-13,255,5,51,3
210,2023-06-03,257,1,84,4
211,2024-03-24,100,1,69,5
212,2023-11-11,92,1,8,2
213,2023-10-16,28,4,68,2
214,2023-11-20,99,1,62,5
215,2023-06-28,207,4,50,3
216,2023-02-11,94,2,78,3
217,2023-03-02,152,5,95,3
218,2024-03-07,162,1,58,4
219,2024-03-21,221,5,7,5
220,2024-07-22,119,5,17,4
221,2023-06-04,201,4,39,1
222,2024-07-14,147,1,52,5
223,2024-01-21,138,2,94,4
224,2023-12-12,278,4,79,4
225,2024-01-18,184,2,54,2
226,2023-11-17,55,2,97,4
227,2024-06-04,54,5,39,4
228,2024-01-24,275,4,18,5
229,2024-06-12,127,4,77,1
230,2024-01-18,204,4,49,1
231,2024-04-10,238,5,64,1
232,2023-02-09,42,2,80,4
233,2024-08-15,59,2,13,2
234,2024-03-02,287,4,85,3
235,2023-10-23,260,5,20,3
236,2024-05-27,77,1,26,5
237,2023-09-14,243,3,69,4
238,2023-04-07,162,3,52,5
239,2023-11-22,23,2,91,3
240,2023-03-14,269,3,87,5
241,2024-02-16,1,4,39,2
242,2024-03-01,30,3,40,3
243,2023-08-02,284,4,36,3
244,2023-06-24,51,5,72,3
245,2023-07-05,2,1,49,1
246,2024-06-28,277,2,36,1
247,2024-01-23,166,3,63,1
248,2024-01-05,252,5,97,2
249,2024-04-24,180,2,55,5
250,2023-09-28,269,5,57,1
251,2023-08-26,117,1,25,5
252,2023-04-21,221,2,94,2
253,2024-03-14,139,4,56,2
254,2023-02-18,169,2,97,3
255,2024-03-17,41,2,38,2
256,2024-03-05,10,2,22,3
257,2024-06-16,30,5,29,1
258,2024-02-13,204,4,73,5
259,2024-08-16,291,1,62,4
260,2023-05-01,115,4,92,1
261,2024-07-23,148,3,81,1
262,2023-02-19,85,2,15,1
263,2023-08-13,238,1,80,2
264,2024-01-11,246,1,77,3
265,2023-04-04,66,4,87,4
266,2023-10-04,54,2,12,3
267,2024-07-21,217,2,82,4
268,2024-06-26,188,5,24,1
269,2023-02-20,55,4,83,5
270,2023-05-03,128,2,52,1
271,2023-10-21,134,2,85,3
272,2024-04-21,243,4,53,1
273,2024-05-13,176,1,4,5
274,2024-05-09,234,3,58,1
275,2023-08-29,116,3,6,5
276,2023-03-06,156,5,89,3
277,2024-01-15,153,2,21,2
278,2023-01-31,237,3,55,5
279,2023-12-31,127,2,73,1
280,2023-11-23,23,2,83,4
281,2023-12-04,43,5,84,1
282,2023-08-19,287,2,51,2
283,2024-05-02,128,1,12,2
284,2023-11-24,67,5,96,5
285,2024-06-17,262,2,68,4
286,2024-03-05,237,1,42,5
287,2024-05-14,268,3,54,4
288,2024-03-23,68,1,100,3
289,2023-07-08,130,4,67,3
290,2023-07-01,168,1,35,1
291,2023-07-13,191,3,81,5
292,2023-06-06,15,4,36,1
293,2023-03-02,298,1,64,2
294,2023-04-11,2,3,63,3
295,2024-05-22,207,5,35,4
296,2023-08-04,41,5,88,3
297,2024-04-25,26,5,52,2
298,2023-11-04,145,4,64,2
299,2023-10-14,83,3,76,3
300,2023-06-25,137,4,2,5
301,2023-10-20,175,2,84,3
302,2024-04-25,53,4,29,3
303,2023-06-06,125,4,86,4
304,2024-01-29,209,5,43,4
305,2024-04-28,28,4,60,3
306,2023-10-10,249,4,15,3
307,2023-07-31,154,1,93,4
308,2024-07-02,30,5,64,4
309,2024-02-20,225,3,59,3
310,2023-01-28,105,5,72,2
311,2023-08-17,237,1,66,4
312,2024-01-30,269,3,24,2
313,2023-10-15,65,2,44,1
314,2024-06-06,99,3,82,4
315,2023-12-21,99,1,37,4
316,2023-11-28,224,2,31,4
317,2023-09-27,289,4,4,5
318,2023-12-25,124,3,85,1
319,2024-06-22,275,2,88,4
320,2024-04-29,114,2,45,5
321,2023-07-25,161,5,2,2
322,2023-12-05,249,5,59,1
323,2023-05-16,236,3,61,1
324,2023-04-20,113,5,52,4
325,2023-06-19,283,4,95,5
326,2024-02-04,217,1,47,5
327,2023-07-03,231,1,13,3
328,2024-03-30,200,2,9,4
329,2023-11-21,89,3,31,5
330,2024-01-26,50,2,38,4
331,2023-01-06,130,3,59,1
332,2024-08-22,149,2,47,4
333,2024-04-20,285,1,87,2
334,2023-03-23,83,4,3,3
335,2023-09-02,3,1,15,1
336,2023-11-06,201,5,62,4
337,2024-02-23,159,4,63,2
338,2024-03-07,86,1,90,2
339,2024-08-02,246,3,59,1
340,2023-06-15,297,1,67,5
341,2023-03-05,91,4,46,4
342,2023-05-13,136,5,76,5
343,2023-03-11,197,2,25,3
344,2024-03-25,278,3,32,2
345,2024-04-26,85,1,14,2
346,2024-02-04,263,2,57,2
347,2023-05-16,39,5,37,5
348,2024-06-20,98,5,47,4
349,2024-07-21,193,4,90,5
350,2024-06-25,48,4,74,3
351,2024-03-13,296,3,94,2
352,2024-03-03,232,4,16,5
353,2024-04-05,56,2,63,3
354,2024-03-10,158,3,50,2
355,2023-03-05,48,1,89,4
356,2024-07-13,125,2,69,1
357,2024-05-26,199,1,38,4
358,2024-07-26,165,1,19,4
359,2023-10-02,195,3,3,4
360,2024-02-18,194,2,33,1
361,2023-04-21,40,2,67,4
362,2023-02-09,245,2,40,4
363,2023-08-20,168,4,51,2
364,2024-01-07,300,4,13,1
365,2023-01-23,250,1,79,5
366,2024-02-17,110,5,25,4
367,2023-01-17,113,4,36,4
368,2023-11-29,191,1,1,2
369,2024-02-10,128,2,1,2
370,2023-07-03,286,3,13,3
371,2023-03-24,198,4,100,3
372,2023-08-17,71,5,21,5
373,2023-04-24,164,5,54,1
374,2024-06-17,83,5,34,1
375,2023-07-03,219,4,92,3
376,2023-07-09,105,5,76,2
377,2023-03-24,193,5,34,5
378,2023-04-18,279,5,48,2
379,2023-01-04,203,4,57,1
380,2023-11-21,18,3,19,3
381,2024-02-21,225,2,32,1
382,2023-12-24,51,3,39,4
383,2023-07-27,208,4,93,2
384,2023-11-01,172,1,96,3
385,2024-07-26,36,4,45,2
386,2023-04-16,116,4,22,2
387,2023-10-16,202,1,93,5
388,2023-05-05,11,4,19,2
389,2024-02-20,33,4,12,2
390,2023-01-14,112,3,61,3
391,2024-04-29,159,4,2,5
392,2024-03-22,224,3,12,1
393,2023-11-12,190,2,81,3
394,2023-01-31,40,4,76,2
395,2023-12-22,278,5,41,4
396,2023-09-25,190,3,43,4
397,2023-12-28,81,1,23,3
398,2023-10-12,153,4,99,3
399,2023-11-16,226,4,42,3
400,2024-05-30,41,4,72,5
401,2024-05-20,198,3,63,4
402,2023-08-08,28,2,66,4
403,2023-05-04,14,2,3,2
404,2023-01-21,290,1,100,1
405,2023-10-21,203,2,63,4
406,2024-05-01,239,4,18,1
407,2023-09-23,188,3,76,4
408,2024-05-09,135,4,62,5
409,2023-08-22,178,3,49,5
410,2023-02-24,41,5,5,5
411,2024-01-03,77,1,92,3
412,2024-07-04,93,4,39,4
413,2023-08-07,254,2,51,2
414,2024-08-17,47,1,22,5
415,2024-01-17,222,1,57,5
416,2024-06-24,278,4,45,5
417,2023-04-12,28,2,100,3
418,2023-07-19,37,3,20,5
419,2023-01-01,78,1,28,2
420,2024-02-22,162,5,39,3
421,2024-02-04,75,3,55,3
422,2023-08-03,174,1,64,1
423,2023-10-29,24,1,9,2
424,2023-03-06,11,2,42,3
425,2024-07-15,96,4,73,1
426,2024-06-08,15,4,34,5
427,2024-01-10,17,4,64,5
428,2024-05-30,200,2,44,4
429,2024-02-26,182,5,70,3
430,2024-08-04,96,3,83,1
431,2023-01-12,257,4,25,1
432,2023-06-18,58,5,55,5
433,2024-03-10,291,4,86,1
434,2023-09-15,37,3,48,4
435,2024-05-02,256,3,95,2
436,2023-10-20,175,3,44,4
437,2023-03-15,207,3,95,4
438,2024-01-31,114,5,9,2
439,2024-01-16,35,1,63,3
440,2024-03-23,171,4,74,3
441,2023-02-14,24,4,37,3
442,2023-03-28,90,1,67,5
443,2023-01-29,251,1,54,1
444,2023-12-27,150,5,55,5
445,2024-01-07,276,1,86,1
446,2023-12-21,279,1,13,5
447,2024-07-17,163,2,79,2
448,2023-02-22,195,4,96,5
449,2023-11-23,165,3,39,1
450,2023-06-22,252,5,57,4
451,2023-06-25,60,5,30,1
452,2024-07-03,96,3,74,3
453,2023-05-07,96,5,66,3
454,2024-01-27,69,3,53,4
455,2024-01-03,176,4,98,1
456,2023-10-27,201,5,66,4
457,2023-10-07,216,2,53,1
458,2023-10-08,163,4,7,2
459,2024-05-19,244,1,43,3
460,2024-04-17,139,3,32,2
461,2024-01-26,214,2,36,2
462,2023-12-30,149,3,22,1
463,2024-07-13,40,4,44,5
464,2023-09-15,175,2,62,2
465,2024-03-15,43,2,70,5
466,2023-12-18,269,3,88,4
467,2023-01-16,145,2,69,3
468,2024-06-19,132,3,75,5
469,2024-02-19,14,3,1,3
470,2023-05-13,41,4,83,4
471,2024-01-11,250,3,4,1
472,2023-02-06,203,3,53,5
473,2023-03-18,65,5,23,5
474,2024-01-18,130,1,96,3
475,2023-03-13,251,3,25,1
476,2023-05-31,151,3,85,2
477,2024-03-03,160,2,77,2
478,2023-02-23,146,4,32,3
479,2023-06-19,3,3,29,2
480,2023-06-27,204,1,41,3
481,2023-01-07,153,4,50,1
482,2023-11-06,40,3,30,1
483,2023-06-22,121,3,57,1
484,2024-02-22,47,5,29,4
485,2023-01-03,84,1,6,5
486,2023-02-28,104,3,74,5
487,2023-10-06,140,5,33,3
488,2023-03-31,283,1,50,1
489,2024-02-29,274,1,71,5
490,2023-12-31,54,2,17,3
491,2024-08-08,4,3,81,5
492,2023-11-07,19,1,4,5
493,2023-12-05,257,4,55,4
494,2024-07-09,269,5,76,4
495,2024-07-23,11,1,63,2
496,2023-04-14,7,4,2,2
497,2023-03-04,115,3,55,2
498,2023-10-24,179,3,99,1
499,2024-04-14,24,4,26,4
500,2024-06-08,51,2,53,1
501,2023-01-20,141,3,100,2
502,2024-07-31,137,5,31,3
503,2024-06-14,267,4,97,1
504,2024-01-23,140,1,51,5
505,2023-05-29,218,4,20,1
506,2023-11-11,296,4,10,4
507,2023-11-08,260,4,43,3
508,2023-06-25,12,2,44,4
509,2023-05-04,168,3,61,4
510,2023-07-15,264,1,2,4
511,2024-05-25,177,2,12,1
512,2023-06-09,271,1,31,4
513,2024-04-27,119,4,7,3
514,2023-06-19,270,2,76,3
515,2023-02-26,188,4,86,1
516,2023-12-12,191,3,54,4
517,2023-05-21,217,4,44,3
518,2023-11-19,192,2,17,5
519,2023-07-14,102,1,15,1
520,2023-09-26,138,3,84,2
521,2024-05-06,129,3,98,3
522,2023-10-25,275,4,53,1
523,2023-02-14,39,2,97,5
524,2023-03-29,38,2,52,3
525,2024-01-23,235,1,82,3
526,2023-05-03,82,1,91,2
527,2024-06-15,97,5,94,2
528,2023-12-03,192,3,9,4
529,2023-11-20,269,2,58,5
530,2023-10-15,39,5,8,2
531,2024-01-20,138,1,14,1
532,2023-04-25,25,3,24,1
533,2024-01-08,236,3,2,3
534,2023-04-05,120,3,3,1
535,2024-05-03,183,3,40,3
536,2024-01-20,47,4,40,4
537,2023-12-13,32,5,30,5
538,2024-07-30,179,1,71,2
539,2023-11-28,2,2,62,2
540,2023-10-30,291,3,50,1
541,2023-12-08,253,1,65,2
542,2023-12-15,263,5,56,5
543,2023-01-09,38,3,79,1
544,2024-03-06,237,5,77,1
545,2024-06-25,112,1,36,4
546,2024-02-02,263,3,51,5
547,2023-05-08,178,3,80,5
548,2023-05-11,221,2,9,4
549,2023-01-04,238,1,65,2
550,2023-05-01,214,4,8,4
551,2024-03-05,61,5,87,5
552,2023-11-14,88,1,54,4
553,2024-07-31,163,4,62,1
554,2024-06-14,250,4,42,2
555,2023-07-19,221,4,16,2
556,2024-01-26,35,5,78,4
557,2024-01-21,161,2,93,4
558,2023-07-05,159,5,98,3
559,2023-12-03,167,1,16,2
560,2023-11-23,53,5,22,1
561,2023-02-21,116,4,47,4
562,2024-01-23,253,2,34,1
563,2023-10-10,107,5,99,3
564,2023-04-24,66,2,23,3
565,2023-11-16,290,5,13,4
566,2023-07-01,176,3,61,4
567,2024-06-01,69,4,59,2
568,2023-09-07,220,5,98,4
569,2023-02-19,108,5,62,4
570,2023-06-09,156,4,64,4
571,2024-01-30,183,5,78,1
572,2023-10-26,248,2,44,4
573,2023-12-28,25,1,39,4
574,2023-01-30,237,5,48,1
575,2024-05-05,32,3,68,5
576,2023-07-15,109,5,2,4
577,2024-02-26,215,1,34,5
578,2023-12-08,98,5,63,1
579,2024-04-16,59,3,29,4
580,2024-02-28,203,3,87,4
581,2023-04-02,158,5,43,2
582,2024-01-01,117,4,2,2
583,2023-04-18,224,5,58,2
584,2023-03-27,60,1,76,5
585,2023-05-18,196,3,43,4
586,2024-03-24,294,2,23,3
587,2024-02-11,133,3,45,4
588,2023-04-25,292,5,86,1
589,2023-10-13,181,2,67,1
590,2023-08-13,259,1,49,1
591,2024-04-03,206,1,59,4
592,2023-05-17,61,5,89,2
593,2023-12-21,184,5,69,2
594,2024-02-09,39,5,96,3
595,2023-11-20,297,5,1,1
596,2024-04-04,102,2,70,5
597,2024-02-05,62,1,45,2
598,2023-06-16,91,5,74,2
599,2023-11-17,300,2,85,3
600,2024-06-11,218,5,4,3
601,2023-02-02,290,5,22,4
602,2023-03-07,142,1,62,5
603,2023-08-11,46,5,83,2
604,2023-10-01,146,3,66,4
605,2024-03-27,25,2,51,5
606,2024-06-12,249,1,63,2
607,2023-09-21,283,5,75,2
608,2023-07-13,94,5,87,1
609,2024-05-26,59,5,49,5
610,2024-02-16,289,2,69,5
611,2023-07-09,215,1,94,4
612,2024-05-24,75,4,44,5
613,2024-03-25,11,1,31,1
614,2023-12-14,43,4,85,5
615,2024-08-12,159,2,69,1
616,2023-04-10,252,3,66,4
617,2023-02-04,160,2,41,1
618,2024-03-21,207,4,71,2
619,2023-05-30,239,2,46,2
620,2023-05-11,164,5,22,4
621,2023-02-09,198,3,22,5
622,2023-01-20,173,4,100,5
623,2023-03-25,135,4,98,4
624,2024-06-14,206,1,3,5
625,2024-06-14,247,4,86,3
626,2023-01-18,29,2,39,4
627,2023-12-11,3,4,15,1
628,2023-08-21,181,5,5,2
629,2023-05-14,205,5,7,1
630,2023-12-11,228,4,54,2
631,2023-01-29,14,3,86,4
632,2023-04-22,227,2,62,2
633,2024-07-23,24,3,65,4
634,2023-02-20,112,4,44,2
635,2024-05-15,21,3,31,2
636,2023-01-28,258,4,86,1
637,2023-12-31,254,4,87,4
638,2023-11-17,137,5,33,5
639,2023-02-07,63,4,14,4
640,2023-03-21,251,3,81,2
641,2024-03-27,68,4,93,3
642,2024-08-03,34,3,59,5
643,2023-06-15,298,3,64,1
644,2024-06-25,236,2,57,4
645,2023-06-19,25,5,11,2
646,2023-05-01,15,1,75,5
647,2024-02-29,58,3,71,4
648,2023-02-10,122,1,24,3
649,2023-07-25,276,1,77,4
650,2023-08-09,280,1,78,4
651,2024-04-15,76,3,40,5
652,2024-02-07,219,1,63,3
653,2023-11-13,228,1,69,1
654,2024-02-05,180,1,30,4
655,2023-07-10,241,4,53,3
656,2024-03-21,131,1,68,5
657,2024-01-23,248,1,22,2
658,2023-03-14,52,5,8,5
659,2023-09-30,296,3,49,4
660,2023-07-12,246,2,58,2
661,2023-03-28,73,3,5,4
662,2024-07-26,215,1,29,5
663,2024-03-04,50,3,68,2
664,2023-09-18,167,2,63,3
665,2024-02-12,27,4,30,1
666,2023-02-20,227,5,49,4
667,2023-09-13,226,5,16,3
668,2024-05-16,193,1,83,1
669,2023-10-29,107,4,10,3
670,2023-06-08,16,4,56,1
671,2024-08-23,182,4,39,3
672,2023-06-04,82,1,33,1
673,2023-08-09,183,3,35,5
674,2024-02-03,60,2,58,1
675,2023-10-29,263,5,11,1
676,2023-08-12,161,1,61,2
677,2023-09-09,271,4,18,2
678,2023-01-07,184,1,21,1
679,2024-05-24,136,4,16,3
680,2023-04-04,229,1,62,2
681,2023-01-15,122,5,55,3
682,2024-05-31,38,2,17,2
683,2023-01-25,54,5,25,3
684,2023-11-08,208,3,80,2
685,2024-05-16,216,2,8,1
686,2023-10-30,86,4,71,4
687,2024-06-06,175,5,22,3
688,2023-01-27,178,2,74,3
689,2023-03-12,57,1,25,2
690,2023-04-12,134,1,32,5
691,2024-02-09,251,5,96,4
692,2023-11-19,35,1,15,4
693,2023-01-23,121,2,53,4
694,2024-01-11,287,4,59,5
695,2024-04-06,65,3,51,1
696,2023-09-02,187,4,49,5
697,2023-08-08,115,5,71,3
698,2023-07-01,51,4,27,5
699,2023-08-18,13,3,3,5
700,2024-07-17,223,3,13,3
701,2023-03-24,240,2,56,2
702,2024-01-27,73,3,58,2
703,2024-06-04,89,5,32,4
704,2023-10-07,286,3,87,2
705,2024-04-02,50,5,27,3
706,2023-03-18,150,5,61,2
707,2024-04-12,234,3,100,1
708,2023-06-19,58,1,82,1
709,2024-05-27,169,4,86,4
710,2023-08-14,167,5,20,2
711,2023-11-12,119,5,57,3
712,2023-02-09,251,3,50,1
713,2024-06-09,276,2,56,3
714,2024-01-31,151,5,7,3
715,2023-05-05,91,3,52,2
716,2023-01-09,182,1,44,5
717,2023-03-06,25,3,25,2
718,2023-11-11,252,4,20,3
719,2023-06-19,57,2,70,3
720,2024-07-26,106,5,91,1
721,2023-04-03,211,5,94,4
722,2023-09-30,173,3,16,2
723,2023-06-28,173,5,100,5
724,2024-06-12,119,5,85,5
725,2023-11-18,144,4,35,4
726,2023-02-26,149,4,97,3
727,2023-11-28,42,1,66,5
728,2023-03-08,247,3,74,4
729,2024-08-14,196,5,39,4
730,2023-12-16,189,2,50,3
731,2024-07-19,64,1,49,4
732,2024-08-14,137,3,94,4
733,2024-05-30,26,5,8,4
734,2023-04-11,6,2,75,5
735,2023-03-24,258,4,100,1
736,2024-03-12,255,2,100,5
737,2024-04-11,94,2,65,3
738,2024-03-19,199,2,68,1
739,2023-07-15,174,5,44,2
740,2024-04-14,141,4,67,5
741,2023-04-18,189,1,73,5
742,2024-05-07,121,4,83,2
743,2024-02-04,273,2,5,1
744,2023-07-25,30,2,25,4
745,2024-07-15,170,2,51,3
746,2024-07-06,179,2,10,5
747,2023-09-10,91,2,77,1
748,2023-12-09,58,4,84,2
749,2024-02-06,205,3,37,1
750,2024-02-08,184,3,78,2
751,2024-03-11,120,3,53,2
752,2023-07-27,66,2,80,2
753,2023-08-16,296,5,57,5
754,2023-03-17,279,2,4,3
755,2024-07-16,134,1,27,1
756,2024-01-03,124,4,92,3
757,2023-01-14,157,2,51,1
758,2023-10-02,41,3,44,5
759,2023-04-06,293,1,77,4
760,2024-07-16,119,2,96,2
761,2023-11-28,114,3,30,1
762,2024-04-10,24,5,71,4
763,2024-07-13,96,4,70,3
764,2023-12-13,260,4,75,3
765,2024-03-01,252,3,6,4
766,2024-03-20,20,2,95,1
767,2024-06-11,208,5,49,2
768,2023-05-06,142,1,35,4
769,2024-07-01,283,5,81,1
770,2023-03-07,129,3,50,1
771,2023-05-12,5,2,29,5
772,2023-07-16,264,3,61,5
773,2023-01-02,6,5,67,1
774,2024-07-07,278,2,84,4
775,2024-05-23,65,4,61,3
776,2024-04-24,135,2,16,4
777,2023-11-15,232,2,48,2
778,2023-06-24,245,2,92,1
779,2024-08-18,200,4,22,3
780,2023-06-21,136,2,74,4
781,2023-08-03,99,4,98,2
782,2023-07-22,175,2,77,2
783,2024-05-03,151,5,18,4
784,2023-01-02,133,5,65,2
785,2023-02-05,136,4,11,2
786,2023-12-02,84,5,8,1
787,2023-08-03,225,4,70,4
788,2024-08-15,198,5,6,1
789,2024-01-09,188,2,73,5
790,2023-06-14,73,3,55,2
791,2024-01-12,113,3,86,2
792,2023-08-20,299,5,27,5
793,2024-03-30,191,3,33,2
794,2023-12-04,179,1,78,1
795,2023-06-03,281,1,52,2
796,2023-12-21,197,4,56,5
797,2023-04-14,154,4,81,4
798,2023-08-02,288,3,9,2
799,2024-01-24,277,5,73,2
800,2024-01-11,93,5,43,4
801,2023-12-31,220,4,23,5
802,2024-05-10,154,4,63,3
803,2023-04-24,28,4,58,2
804,2024-04-11,113,4,1,1
805,2024-03-19,280,2,29,1
806,2024-08-22,165,3,30,1
807,2023-03-21,61,5,21,1
808,2024-04-20,26,3,84,5
809,2023-01-13,34,3,57,4
810,2023-03-27,117,4,6,4
811,2023-11-20,51,1,67,3
812,2023-05-31,244,3,7,1
813,2024-03-06,32,1,11,2
814,2024-01-03,111,3,48,2
815,2023-09-26,48,4,34,1
816,2024-02-21,38,2,39,4
817,2024-01-08,41,3,92,5
818,2024-01-14,126,5,88,5
819,2023-04-10,46,1,81,3
820,2024-06-28,214,3,65,4
